name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-12-05	dail	32	Personal Explanation by Member	dbsect_36	In the Dáil on 17 November 2004 statements were allowed on the abduction and murder of Margaret Hassan, an Irish national in Iraq. During the course of those statements I said Margaret Hassan had converted to Islam. This statement was untrue. Margaret Hassan was a devout Catholic who continued to practice her religion during the years she was in Iraq. I wish, therefore, to have the Official Report for the Dáil of 17 November 2004 corrected to indicate that Margaret Hassan had not converted to Islam but was, in fact, a devout and practising Catholic. I regret not having done so prior to this. While her body has never been recovered, I hope some day that will happen and that she will receive a Christian burial.	spk_264
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-10-10	dail	32	Financial Resolution No. 3: Intangible Assets	dbsect_13	I thought the Leas-Cheann Comhairle might allow me to speak to the good Deputies here.	spk_144
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-06-14	dail	32	Resignation of Taoiseach	dbsect_2	A Cheann Comhairle, tá orm a chur in iúl duit gur éirigh mé as oifig mar Thaoiseach inné trína chur sin in iúl don Uachtarán de bhun an Bhunreachta. Yesterday I resigned from the office of Taoiseach by placing my resignation in the hands of the President, pursuant to the Constitution.	spk_2
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-06-14	dail	32	Nomination of Taoiseach	dbsect_3	Tairgim:Go n-ainmneoidh Dáil Éireann an Teachta Leo Varadkar le bheith ceaptha ag an Uachtarán mar Thaoiseach. I move:That Dáil Éireann nominate Deputy Leo Varadkar for appointment by the President to be Taoiseach. Having worked closely with Deputy Varadkar throughout his political career I am confident that he will carry out the role of An Taoiseach with energy, integrity and skill. From his deep involvement in the Young Fine Gael movement as a young student to his election to Fingal County Council in 2004 and his election to this House, Dáil Éireann, in 2007, Deputy Varadkar has demonstrated the drive and the commitment that are required to succeed in politics. Immediately upon his election to this House I appointed him to the Fine Gael Front Bench, first in the enterprise brief and later as spokesman on energy and communications. In both roles he worked diligently in developing new and innovative policy proposals. Since then I had the privilege of being first elected Taoiseach in 2011 and have had the privilege of appointing Deputy Varadkar to three separate Cabinet positions, as Minister for Transport, Tourism and Sport, Minister for Health and more recently as Minister for Social Protection. In each of these Ministries Deputy Varadkar has had significant achievements, whether the revitalisation of the tourism industry, the oversight of The Gathering, stabilising the health service and rolling out free general practitioner, GP, care for children younger than six years or increasing the weekly payments to those dependent on social welfare. In 2011 the Irish people elected a new Government to rescue the economy, to get Ireland working again and Deputy Varadkar in his Ministries was central to that work. Today our country is in a much stronger position than previously, the troika has left, unemployment has fallen dramatically and the public finances are in very good shape. However, many challenges remain, not least in areas such as health and housing and child poverty. We must continue to manage the economy carefully so that it generates the resources that we need to rebuild our essential public services. As Taoiseach, Deputy Varadkar will meet these challenges head on, including Brexit and Ireland's future place in the European Union. As the country's youngest holder of this office he will speak for a new generation of Irishwomen and Irishmen. He represents a modern, diverse and inclusive Ireland and will speak for it like no other, an Ireland in which each person can fulfil his or her potential and live his or her dreams. I wish Deputy Varadkar and his team every success in the challenges that lie ahead. I have no doubt but that he will build on the solid foundations on which our country now stands and that he will see that it is managed carefully in the people's interests and that the decisions his Government will make will always hold the people as central to those decisions. I therefore commend his name to the House for selection as Taoiseach of Ireland.	spk_3
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-06-13	dail	32	Resignation of Taoiseach	dbsect_2	"Go raibh maith agat, a Cheann Comhairle. Nach iontach ar fad go bhfuil slua mór anseo inniu. Ba mhaith liom a chur in iúl duit, a Cheann Comhairle, tar éis ghnó na Dála seo, go mbeidh mé ag dul amach go hÁras an Uachtaráin, go dtabharfaidh mé litir ag éirí as an bpost seo chuig an Uachtarán agus go mbeidh sé sin ag dul i bhfeidhm láithreach.I was hoping that having said that much, I could leave quickly and quietly but the business of the Dáil is such that I no longer have any control over how it is to be conducted. The prospect of making a speech or listening to them, either of glorification or flagellation, is not something that I really relish because this has never been about me. It has always been about the problems and challenges our people and country face. That said, I am very happy to have the opportunity to thank the Ceann Comhairle, his predecessors and all the staff of the House for their assistance and unfailing courtesy not just over the last six years as Taoiseach but over the past 42 years since I have been a Member of the House. It was Teddy Roosevelt who said ""Far and away the best prize that life has to offer is the chance to work hard at work worth doing."" I have been truly blessed I have had that chance. I am eternally grateful to the Irish people and particularly the people of Mayo for repeatedly giving me that opportunity. I really believe that politics is work worth doing, a noble profession. Despite the many scandals and disappointments, I believe the vast majority of people elected to this House are here because we have an interest in and love for our communities and country and we wish to make a difference. For me, cynicism is always an easy cop-out. The true measure of worth and courage is to keep trying again and again, knowing that much of that effort will go unrewarded. I understand the people's disillusionment with politics and the political process. I believe that a first step towards overcoming that might be for us as politicians to treat one other with a greater degree of respect. We can argue vehemently the merits of issues or measures without questioning one another's motives or intent. Politics is always about people and government is always about making decisions. For my own part, I am the first to acknowledge I have not got everything right but I can honestly say my motivation was always what I believed was in the best interests of the Irish people. I thank my colleagues in government for their efforts and support in trying to make an unprecedented and difficult situation work. I also wish to recognise the contributions of the Members opposite, of the Fianna Fáil Party with their leader, Deputy Micheál Martin. It would be remiss of me not to mention the Labour Party for its enormous contribution to the success of the last Government, which under the leadership of Eamon Gilmore and Deputy Joan Burton, with the central involvement of the current leader of the Labour Party, Deputy Brendan Howlin, played a critical role in the rescue of the economy. I thank them all for that. To my party colleagues, I want to say it has been a privilege and a pleasure to have had the opportunity to lead the party for 15 years, and the last six years in government. I wish them all good health to continue the work to overcome and deal with the many challenges that lie ahead.  I passed through Strade recently, which is the birthplace and final resting place of Michael Davitt. To paraphrase what he said in his will to the Irish people, to all my friends I leave kind thoughts, to others I express my fullest forgiveness and to Ireland my undying prayer for absolute freedom and independence, which it has always been my ambition to achieve for her. I hope that in the two Governments I have led, we have made a modest contribution towards that ambition. "	spk_2
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	Deputy Martin is asking what action the Government took on the basis of the circumstances in which we found ourselves in 2011. Some €20 billion had been invested by the taxpayer. Jobs were haemorrhaging by the tens of thousands, interest rates on money borrowed by the country were 15% and unemployment was rising. We set out to improve that position, and that is what has happened in terms of the interest rates on the promissory note and the leverage we have at a European level. As I said, €20 billion of taxpayers' money was put into what was supposed to be the greatest deal of all, that is, a €64 billion debt burden on our people. We recovered €6.6 billion through capital repayments, interest, income and fees. The State still owns 99.9% of the ordinary share capital and a further €0.2 billion has been paid to the State through the bank levy. The primary objective of the State was to recover all of the investment from AIB. The Minister for Finance believes that is a realistic objective over a period of time. I said to Deputy Martin yesterday that the sale of the bank shares would not result in any beneficial impact on the general Government balance as it would not be counted as revenue. Therefore, there is no increased capacity to spend. The proceeds from any IPO would be used to pay down debt, and the Minister has made that perfectly clear. We are now in the process of being in a much stronger position than we were, with almost full employment, and the deficit is to be eliminated next year. There are serious challenges in terms of the level of personal debt that applies.  The negotiations are now beginning, with the Minister for Public Expenditure and Reform, on an extension of the Lansdowne Road agreement and a review of the capital programme. Significant amounts of money still remain unallocated. The Government has made decisions on the unprecedented levels of money available for dealing with the housing crisis.  As I have pointed out, the Government has made decisions to work with the European Investment Bank on further, long-term, low interest funds for major pieces of infrastructure. The challenges ahead are ones the Government is already looking at, not in the way Governments of the past looked at the development of a spatial strategy. People on this side wrote down 53 towns to be developed, but nothing ever happened.  Ireland will increase its population by 1 million people over the next number of years and we will need 500,000 houses. We have to consider how those people will be transported. The Minister for Communications, Climate Action and Environment is delivering elements of the programme for broadband and a national contract is to be issued for that next year. There is a contract in place with Eir for the provision of fibre broadband to homes in many places. The Minister has been very clear that now is the optimum time to dispose of a portion of AIB, leaving the State with a very significant holding. Obviously, advice was received on a constant basis but the opportunity did not present itself in the way it does now. It is not a case of not examining the infrastructure requirements we have. They are very big priorities for Government. In this particular case, as has been pointed out, it is a transaction that does not result in any increased spending money and will, therefore, be used to write down debt, as the Minister has confirmed on many occasions.	spk_86
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	The Minister for Finance has repeatedly identified the particular demographics of this country having regard to these rules. Money has to be paid back and capital is treated differently from current funding. It is not a case of not focusing on the priorities we have all identified. The Government has put forward €5 billion for housing.	spk_88
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	The problem here is to get the system moving from the total collapse of a number of years ago to provide the number of houses, social and everything else, that is now needed. The Minister has raised the question of the treatment of capital at European level in his discussions with finance ministers but it has to be paid back. I know Deputy Martin supports the proportionate sale of AIB here. Obviously, the question of demographics has been raised by us repeatedly and we have identified the kind of country we would like to see and the infrastructure it will require over the next ten, 15 and 20 years. There is a need for increased capital expenditure, but one has to have the engine of an economy to drive that. Clearly from a European point of view, investments that will come from the loan process with the European Investment Bank will have a significant impact on some of the very major infrastructure projects that lie ahead.	spk_91
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I am not sure what kind of speech that is. I thank the Deputy for his words. If I recall properly, I remember Deputy Adams as president of his party, coming in here week after week saying we should default.	spk_98
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	"His mantra was ""burn the bondholders"" and he was opposed to everything European. He campaigned actively against nine referenda in which the Irish people voted."	spk_100
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	He was opposed bitterly to having the taxpayer put money into AIB and now he is opposed to getting the money back. That is consistency I suppose from the leader of Sinn Féin.	spk_102
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I have not mentioned the Northern Bank. I am not sure if it was Irish money or sterling but I did not mention the Northern Bank. Deputy Adams has been consistent about burning bondholders-----	spk_104
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	-----that Ireland should default, that our economy would never recover, that we are a Third World country and that nothing was ever right here. I do not know if he even sees the sun shining on these summer days. The previous Government and this one have continued the process of rectifying an unholy and unprecedented mess that was inherited. We have dealt with that-----	spk_106
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	-----to the point that the country is in a much stronger position than it was previously.	spk_108
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	There are still many challenges ahead and I hope the Government continues to do its duty in office. It will focus entirely on decisions that will be made in the interests of the people. This is one decision that is in the interests of the people. The Minister has taken advice over a long period and the optimum time is now. The economic circumstances are very good and this is a test of the value - it will be floated on the stock exchange - of what a 25% offering for AIB will bring in. Over the next decade or so, it will bring about a situation in which private banking offers competition in the interests of a strong economy and an opportunity for people. Deputy Adams can stick with his mantra. He spoke to me last week about long goodbyes and I offered to wait for him. I understand the movement is now asserting that Deputy Adams should stand up and make a declaration as to his future intentions also.	spk_110
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I thank him for his consistency. I do not share his view. This is the right thing to do with AIB and now is the right time to do it.	spk_112
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	We favour a situation where the bank would be restored to being a private banking enterprise and where it would provide competition in the interests of the country. If I recall correctly, another of the Deputy's mantras was that the troika should be sent home.	spk_118
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I agree because one of the saddest days I attended here was the day our sovereignty was taken from us-----	spk_120
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	-----when the late Minister for Finance and the former Taoiseach walked off the Government stage and were replaced by the troika, led by Mr. Chopra. The call was that they should be sent home. They are gone. The previous Government was in a position to exit the bailout programme, despite the fact that people had stated we could not do it and that very difficult conditions would be imposed.	spk_122
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	They have left our shores and we have retrieved our sovereignty and restored our economic independence. Furthermore, we have also given the flag back to the people with a new sense of understanding and respect. Deputy Gerry Adams says this is in the interests of the bankers. There were 225,000 new jobs created in the past few years. The young men and young women of this country work to build our economy and international reputation and send the brand image that we are not afraid to face up to our challenges or make hard decisions and that we are not afraid to make sacrifices in the interests of everybody. While we have many challenges ahead, we are in a much better position than we were. Had we followed the Deputy's line, I hate to think where we would be now.	spk_124
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	We have had a lot of discussions about this issue already. The Government made the decision, which the Houses accepted, that the Charleton inquiry should be set up. As I pointed out to Deputy Mick Barry yesterday, the appointment of Mr. Justice Charleton was exceptionally appropriate, having dealt with the Morris tribunal for over a decade in County Donegal. I prefer to let him and his commission do their work. I do not know whether the allegation about the particular phone being missing is true or not, but the justice has set out the timescale and the hearings that are to take place. There will be public hearings of the commission in July on this very issue. The Committee of Public Accounts is meeting this morning and I have heard some of the comments made about the discrepancies in some of the contributions being made. Be that as it may, the House has set up a commission of investigation, a tribunal, to deal with this matter and no better person than Mr. Justice Charleton to deal with it. The Deputy's question about the previous Commissioner was the subject of a full-scale commission of investigation which made its judgment and ruling. Obviously, the current Commissioner is one of the people whom I named yesterday as having legal representation at the Charleton inquiry. The hearings will take place in public in July, which is not too far distant. I expect Mr. Justice Charleton to find out the veracity of the allegations, the facts and the truth. That is why he was appointed.	spk_126
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	The Deputy completely underestimates the capacity of Mr. Justice Charleton who is the sole member in charge of a full tribunal. He is not the kind of person who will be led astray by filtered information. Believe me, if the Deputy is suggesting the tribunal liaison group is deliberately filtering information to him that is either irrelevant or not meaningful, he is not the kind of person who will let it pass by.I have every faith in Mr. Justice Charleton doing 100% of what he has been appointed to do. He is not the type of person to accept information that might be filtered or which he might be asked to accept as being the full truth. His job is to find that out and I have 100% faith in him doing that. The people who appear before him had better be very clear in the answers they give him.	spk_128
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	How long do I have, a Cheann Comhairle?	spk_135
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I thank Deputy Grealish for his kind comments. I hope to see him in Pearse Stadium on Sunday week and I hope he will be as kind to me then when we take to the field. I have absolutely no regrets about having appointed Deputy Simon Coveney and Deputy Leo Varadkar as Ministers. They are two fine young men who have a real opportunity-----	spk_138
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	They might not have been my supporters when my friend Richard took to the field some years ago. Be that as it may, I was happy to appoint them to Front Bench positions, to watch them grow as Ministers and to bring about a situation where they have actively and vigorously campaigned around the country for the last number of weeks for the right to lead this party. Whatever the decision of the Fine Gael electorate is, I hope that whoever is elected leader of the party will continue in government and will always make decisions in the interests of our people. Every decision it makes and every step the Government takes should be about the country and the people. I am sure that is deeply embedded in their political philosophy. From my perspective, I have been a Member of the House for a long time. I have seen all the tensions and all the outbreaks of viciousness and sometimes fisticuffs when people were being either moved on after elections or shoved out the gate. I have always made it clear that instinct is important for politicians and, indeed, sports people. After 42 years in the House, 13 elections, 15 years as leader of a major party and six years as Taoiseach, I am happy to be in a position to transfer responsibility to a younger generation. That is important in all walks of life. As for advice, it is a little later than people think and there is no time to waste. When the new Government is appointed, in whatever structure that might be, it must get on with challenges we face of keeping our economy moving, dealing with child poverty and homelessness, the provision of employment and creating the infrastructure we spoke about for the people who will live in this country over the next 30 or 40 years. As for regrets, I do not have any. Anybody who holds the position of Taoiseach had better have an optimistic and positive outlook. There is no point in going around looking like one is weighed down with the problems of the world.	spk_140
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	They existed before us and one must deal with them head-on and make the best decisions one can. I recall the Latin adage,  I thank Deputy Grealish for his comments. I appreciate them.	spk_142
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I appreciate the Deputy's comments. I will pass them on to somebody who is absolutely delighted.	spk_144
Enda Kenny	66	Fine Gael	Mayo	#EndaKenny	2017-05-31	dail	32	Questions on Promised Legislation	dbsect_21	I agree with the Deputy that boxing is not in crisis. The sports capital system has supported boxing clubs during the terms of Fianna Fáil and Fine Gael Governments over the years. The number of young boys and girls involved in boxing as a discipline, science and sport continues to increase. On Monday, I was in the north inner city and visited Ballybough Boxing Club. It has brand new facilities and really good coaches and it is doing a wonderful job. I am a big supporter of Bernard Dunne. He is a wonderful example to young people. He rose to become world champion in his weight division. I hope the personalities involved in the matter raised by the Deputy can work this out. As the Deputy rightly pointed out, Irish boxers have been very successful in many Olympic Games. Ireland is recognised by other countries as being outstanding in this regard and one of the top countries in the world. I hope, therefore, that the powers that be, or the personalities within the IABA, along with the Minister of State dealing with this, Deputy Patrick O'Donovan, and the Minister, Deputy Shane Ross, can come to an understanding that is in the interest of thousands of young people and in order that there will be a body that works in everybody's interest. After all, the Deputy's Government and a succession of Governments have put money into the facilities in Dublin and around the country. Through these, young people learn discipline, character formation and the science of boxing, if that is what they love. It is a sport in which they can rise to be world champions in their respective weight divisions. The Deputy's message is one that I fully understand.	spk_151
